# Lift coefficient bins
# bins        : 20
# start       : 2.016667e+00
# delta       : 1.567777e-01
# direction   : (1.000000e+00 0.000000e+00 0.000000e+00)
# x co-ords  :	2.173444e+00	2.330222e+00	2.487000e+00	2.643777e+00	2.800555e+00	2.957333e+00	3.114110e+00	3.270888e+00	3.427666e+00	3.584443e+00	3.741221e+00	3.897999e+00	4.054776e+00	4.211554e+00	4.368332e+00	4.525109e+00	4.681887e+00	4.838665e+00	4.995442e+00	5.152220e+00
# y co-ords  :	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# z co-ords  :	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
#
# Time        	0:total       	0:pressure    	0:viscous     	0:porous      	1:total       	1:pressure    	1:viscous     	1:porous      	2:total       	2:pressure    	2:viscous     	2:porous      	3:total       	3:pressure    	3:viscous     	3:porous      	4:total       	4:pressure    	4:viscous     	4:porous      	5:total       	5:pressure    	5:viscous     	5:porous      	6:total       	6:pressure    	6:viscous     	6:porous      	7:total       	7:pressure    	7:viscous     	7:porous      	8:total       	8:pressure    	8:viscous     	8:porous      	9:total       	9:pressure    	9:viscous     	9:porous      	10:total      	10:pressure   	10:viscous    	10:porous     	11:total      	11:pressure   	11:viscous    	11:porous     	12:total      	12:pressure   	12:viscous    	12:porous     	13:total      	13:pressure   	13:viscous    	13:porous     	14:total      	14:pressure   	14:viscous    	14:porous     	15:total      	15:pressure   	15:viscous    	15:porous     	16:total      	16:pressure   	16:viscous    	16:porous     	17:total      	17:pressure   	17:viscous    	17:porous     	18:total      	18:pressure   	18:viscous    	18:porous     	19:total      	19:pressure   	19:viscous    	19:porous     
1             	1.320189e-01	1.303700e-01	9.799080e-06	1.639093e-03	5.296287e-01	5.279776e-01	1.203895e-05	1.639093e-03	1.930233e-01	1.913680e-01	1.618899e-05	1.639093e-03	5.020090e-01	5.003450e-01	2.495371e-05	1.639093e-03	6.582590e-01	6.565869e-01	3.304758e-05	1.639093e-03	1.044752e+00	1.043094e+00	1.828567e-05	1.639093e-03	9.333383e-01	9.317014e-01	-2.226685e-06	1.639093e-03	8.782745e-01	8.766433e-01	-7.934664e-06	1.639093e-03	1.043213e+00	1.041585e+00	-1.117068e-05	1.639093e-03	9.393425e-01	9.377171e-01	-1.371226e-05	1.639093e-03	8.675120e-01	8.658805e-01	-7.630694e-06	1.639093e-03	8.358829e-01	8.342469e-01	-3.071568e-06	1.639093e-03	8.381016e-01	8.364631e-01	-4.940372e-07	1.639093e-03	8.738596e-01	8.722201e-01	4.503411e-07	1.639093e-03	9.549783e-01	9.533407e-01	-1.426093e-06	1.639093e-03	1.193873e+00	1.192230e+00	4.187244e-06	1.639093e-03	1.384211e+00	1.382562e+00	9.946795e-06	1.639093e-03	1.591405e+00	1.589750e+00	1.600676e-05	1.639093e-03	1.724888e+00	1.723225e+00	2.435175e-05	1.639093e-03	1.748503e+00	1.746801e+00	6.299252e-05	1.639093e-03
2             	1.521813e-01	1.462024e-01	7.351349e-05	5.905354e-03	5.722047e-01	5.662058e-01	9.351984e-05	5.905354e-03	2.604804e-01	2.544793e-01	9.567078e-05	5.905354e-03	5.490492e-01	5.430157e-01	1.282032e-04	5.905354e-03	6.462795e-01	6.402961e-01	7.807746e-05	5.905354e-03	9.696161e-01	9.637839e-01	-7.320777e-05	5.905354e-03	7.934205e-01	7.876951e-01	-1.798919e-04	5.905354e-03	6.722641e-01	6.665390e-01	-1.801931e-04	5.905354e-03	7.711229e-01	7.653703e-01	-1.526938e-04	5.905354e-03	6.403493e-01	6.345585e-01	-1.144807e-04	5.905354e-03	5.947619e-01	5.889310e-01	-7.441430e-05	5.905354e-03	6.026655e-01	5.968128e-01	-5.268812e-05	5.905354e-03	6.347503e-01	6.288849e-01	-4.004199e-05	5.905354e-03	6.907805e-01	6.849091e-01	-3.395538e-05	5.905354e-03	7.929897e-01	7.871211e-01	-3.677343e-05	5.905354e-03	1.092497e+00	1.086634e+00	-4.220514e-05	5.905354e-03	1.332258e+00	1.326412e+00	-5.947517e-05	5.905354e-03	1.568375e+00	1.562556e+00	-8.724124e-05	5.905354e-03	1.723630e+00	1.717832e+00	-1.077689e-04	5.905354e-03	1.729604e+00	1.723746e+00	-4.782194e-05	5.905354e-03
3             	5.813757e-02	4.890872e-02	1.238482e-04	9.104996e-03	1.441347e-01	1.348770e-01	1.527130e-04	9.104996e-03	1.325750e-01	1.233218e-01	1.482003e-04	9.104996e-03	1.618874e-01	1.526334e-01	1.490478e-04	9.104996e-03	1.032040e-01	9.409906e-02	-8.899763e-08	9.104996e-03	3.996426e-02	3.112052e-02	-2.612525e-04	9.104996e-03	-1.788004e-01	-1.874388e-01	-4.666471e-04	9.104996e-03	-4.044188e-01	-4.130575e-01	-4.662137e-04	9.104996e-03	-6.048412e-01	-6.135372e-01	-4.090145e-04	9.104996e-03	-7.320006e-01	-7.407823e-01	-3.232890e-04	9.104996e-03	-7.222667e-01	-7.311367e-01	-2.350223e-04	9.104996e-03	-6.979789e-01	-7.068808e-01	-2.030823e-04	9.104996e-03	-6.949338e-01	-7.038503e-01	-1.884579e-04	9.104996e-03	-7.042459e-01	-7.131689e-01	-1.820183e-04	9.104996e-03	-7.027776e-01	-7.116950e-01	-1.875550e-04	9.104996e-03	-6.039190e-01	-6.128074e-01	-2.166137e-04	9.104996e-03	-5.185737e-01	-5.273961e-01	-2.826393e-04	9.104996e-03	-4.584038e-01	-4.671467e-01	-3.621369e-04	9.104996e-03	-4.223162e-01	-4.310076e-01	-4.136532e-04	9.104996e-03	-4.429159e-01	-4.516867e-01	-3.341652e-04	9.104996e-03
4             	-1.221632e-02	-2.350581e-02	1.143143e-04	1.117517e-02	-1.845907e-01	-1.958882e-01	1.223267e-04	1.117517e-02	5.960173e-02	4.832936e-02	9.719868e-05	1.117517e-02	-6.694117e-02	-7.817230e-02	5.594962e-05	1.117517e-02	-1.369275e-01	-1.479733e-01	-1.293797e-04	1.117517e-02	-3.832560e-01	-3.940613e-01	-3.698581e-04	1.117517e-02	-4.956491e-01	-5.062658e-01	-5.584810e-04	1.117517e-02	-6.530439e-01	-6.636997e-01	-5.193603e-04	1.117517e-02	-9.283033e-01	-9.390565e-01	-4.219629e-04	1.117517e-02	-9.446633e-01	-9.555495e-01	-2.889559e-04	1.117517e-02	-8.438406e-01	-8.548665e-01	-1.492375e-04	1.117517e-02	-7.984736e-01	-8.095230e-01	-1.258338e-04	1.117517e-02	-8.034115e-01	-8.144623e-01	-1.243950e-04	1.117517e-02	-8.361122e-01	-8.471610e-01	-1.263758e-04	1.117517e-02	-8.869230e-01	-8.979603e-01	-1.378168e-04	1.117517e-02	-9.807928e-01	-9.917494e-01	-2.185697e-04	1.117517e-02	-1.064385e+00	-1.075187e+00	-3.729791e-04	1.117517e-02	-1.166065e+00	-1.176724e+00	-5.163341e-04	1.117517e-02	-1.243647e+00	-1.254228e+00	-5.942244e-04	1.117517e-02	-1.283671e+00	-1.294149e+00	-6.975964e-04	1.117517e-02
5             	-3.196739e-02	-4.291002e-02	6.682639e-05	1.087580e-02	-2.364379e-01	-2.473590e-01	4.528342e-05	1.087580e-02	-2.233586e-02	-3.319553e-02	-1.613058e-05	1.087580e-02	-1.406739e-01	-1.514579e-01	-9.180972e-05	1.087580e-02	-1.521485e-01	-1.627659e-01	-2.584744e-04	1.087580e-02	-3.177507e-01	-3.282171e-01	-4.094186e-04	1.087580e-02	-3.399549e-01	-3.502825e-01	-5.481408e-04	1.087580e-02	-3.867839e-01	-3.971988e-01	-4.608417e-04	1.087580e-02	-5.417163e-01	-5.522633e-01	-3.287963e-04	1.087580e-02	-5.004088e-01	-5.111101e-01	-1.744832e-04	1.087580e-02	-4.141079e-01	-4.249566e-01	-2.710656e-05	1.087580e-02	-4.302671e-01	-4.411057e-01	-3.725972e-05	1.087580e-02	-4.854468e-01	-4.962678e-01	-5.472007e-05	1.087580e-02	-5.480533e-01	-5.588643e-01	-6.485946e-05	1.087580e-02	-6.181675e-01	-6.289644e-01	-7.885308e-05	1.087580e-02	-7.666045e-01	-7.772675e-01	-2.127866e-04	1.087580e-02	-9.213926e-01	-9.318145e-01	-4.538352e-04	1.087580e-02	-1.086949e+00	-1.097172e+00	-6.534342e-04	1.087580e-02	-1.216544e+00	-1.226670e+00	-7.493781e-04	1.087580e-02	-1.283664e+00	-1.293552e+00	-9.874019e-04	1.087580e-02
6             	2.189416e-02	1.123817e-02	4.188903e-05	1.061410e-02	-2.756198e-03	-1.338535e-02	1.505279e-05	1.061410e-02	7.738104e-02	6.681234e-02	-4.539952e-05	1.061410e-02	1.090885e-01	9.856161e-02	-8.719415e-05	1.061410e-02	2.125676e-01	2.021239e-01	-1.703981e-04	1.061410e-02	2.879438e-01	2.776224e-01	-2.926853e-04	1.061410e-02	3.627584e-01	3.525769e-01	-4.325681e-04	1.061410e-02	4.686662e-01	4.583951e-01	-3.429809e-04	1.061410e-02	5.810193e-01	5.706169e-01	-2.116401e-04	1.061410e-02	6.897567e-01	6.792181e-01	-7.551413e-05	1.061410e-02	7.984519e-01	7.878091e-01	2.870884e-05	1.061410e-02	8.208978e-01	8.102977e-01	-1.401516e-05	1.061410e-02	8.377504e-01	8.271749e-01	-3.857769e-05	1.061410e-02	8.691618e-01	8.585954e-01	-4.765480e-05	1.061410e-02	9.123129e-01	9.017551e-01	-5.633291e-05	1.061410e-02	9.182675e-01	9.078427e-01	-1.893530e-04	1.061410e-02	8.688037e-01	8.586065e-01	-4.169222e-04	1.061410e-02	7.994601e-01	7.894132e-01	-5.672435e-04	1.061410e-02	7.135291e-01	7.035544e-01	-6.394016e-04	1.061410e-02	6.509082e-01	6.413565e-01	-1.062358e-03	1.061410e-02
7             	6.699502e-02	5.500424e-02	4.809351e-05	1.194268e-02	1.813369e-01	1.693450e-01	4.922452e-05	1.194268e-02	1.463976e-01	1.344288e-01	2.612898e-05	1.194268e-02	2.509607e-01	2.389844e-01	3.362051e-05	1.194268e-02	3.527825e-01	3.408240e-01	1.582817e-05	1.194268e-02	5.079769e-01	4.961512e-01	-1.170396e-04	1.194268e-02	5.380547e-01	5.263940e-01	-2.819872e-04	1.194268e-02	6.281023e-01	6.163872e-01	-2.275973e-04	1.194268e-02	7.926819e-01	7.808725e-01	-1.332294e-04	1.194268e-02	8.560937e-01	8.441767e-01	-2.572428e-05	1.194268e-02	9.365135e-01	9.245197e-01	5.105982e-05	1.194268e-02	9.826041e-01	9.706370e-01	2.434721e-05	1.194268e-02	1.050170e+00	1.038208e+00	2.003164e-05	1.194268e-02	1.140117e+00	1.128153e+00	2.208778e-05	1.194268e-02	1.252926e+00	1.240962e+00	2.069043e-05	1.194268e-02	1.388947e+00	1.377069e+00	-6.407924e-05	1.194268e-02	1.445618e+00	1.433855e+00	-1.800661e-04	1.194268e-02	1.475606e+00	1.463905e+00	-2.413727e-04	1.194268e-02	1.463059e+00	1.451402e+00	-2.856908e-04	1.194268e-02	1.427764e+00	1.416646e+00	-8.243310e-04	1.194268e-02
8             	7.728458e-02	6.328659e-02	9.289606e-05	1.390509e-02	2.177750e-01	2.037492e-01	1.206292e-04	1.390509e-02	1.487920e-01	1.347567e-01	1.302012e-04	1.390509e-02	2.407626e-01	2.266910e-01	1.664851e-04	1.390509e-02	2.753878e-01	2.613311e-01	1.516041e-04	1.390509e-02	3.623160e-01	3.484226e-01	-1.167537e-05	1.390509e-02	2.827704e-01	2.690543e-01	-1.889122e-04	1.390509e-02	2.491888e-01	2.354531e-01	-1.693787e-04	1.390509e-02	2.726803e-01	2.588873e-01	-1.120893e-04	1.390509e-02	2.321649e-01	2.182766e-01	-1.681316e-05	1.390509e-02	2.548716e-01	2.408932e-01	7.329627e-05	1.390509e-02	2.839896e-01	2.699893e-01	9.524036e-05	1.390509e-02	3.354226e-01	3.213973e-01	1.201274e-04	1.390509e-02	3.969787e-01	3.829414e-01	1.321966e-04	1.390509e-02	4.741219e-01	4.600844e-01	1.323417e-04	1.390509e-02	6.015718e-01	5.875802e-01	8.656073e-05	1.390509e-02	6.688467e-01	6.548939e-01	4.778141e-05	1.390509e-02	7.205363e-01	7.066102e-01	2.096649e-05	1.390509e-02	7.503348e-01	7.364492e-01	-1.955389e-05	1.390509e-02	7.467559e-01	7.333768e-01	-5.260333e-04	1.390509e-02
9             	6.549234e-02	5.026880e-02	1.252354e-04	1.509831e-02	1.695567e-01	1.542987e-01	1.597275e-04	1.509831e-02	1.013700e-01	8.610136e-02	1.703271e-04	1.509831e-02	1.544689e-01	1.391734e-01	1.972583e-04	1.509831e-02	1.297392e-01	1.144913e-01	1.495944e-04	1.509831e-02	1.292352e-01	1.141900e-01	-5.313651e-05	1.509831e-02	-2.831754e-02	-4.318212e-02	-2.337263e-04	1.509831e-02	-1.632552e-01	-1.781196e-01	-2.339662e-04	1.509831e-02	-2.814613e-01	-2.963723e-01	-1.872745e-04	1.509831e-02	-3.907772e-01	-4.057937e-01	-8.176411e-05	1.509831e-02	-4.080523e-01	-4.231921e-01	4.146834e-05	1.509831e-02	-4.145200e-01	-4.297149e-01	9.652145e-05	1.509831e-02	-4.169677e-01	-4.321936e-01	1.275410e-04	1.509831e-02	-4.259717e-01	-4.412058e-01	1.357263e-04	1.509831e-02	-4.325795e-01	-4.478068e-01	1.289822e-04	1.509831e-02	-3.819496e-01	-3.971364e-01	8.843688e-05	1.509831e-02	-3.674248e-01	-3.825644e-01	4.132270e-05	1.509831e-02	-3.532576e-01	-3.683394e-01	-1.651187e-05	1.509831e-02	-3.199847e-01	-3.350085e-01	-7.457296e-05	1.509831e-02	-3.069156e-01	-3.215962e-01	-4.176917e-04	1.509831e-02
10            	4.652512e-02	3.094288e-02	1.235322e-04	1.545870e-02	8.104413e-02	6.543701e-02	1.484209e-04	1.545870e-02	7.772385e-02	6.212663e-02	1.385101e-04	1.545870e-02	1.003180e-01	8.472135e-02	1.379713e-04	1.545870e-02	8.425420e-02	6.875717e-02	3.832297e-05	1.545870e-02	4.599195e-02	3.072577e-02	-1.925261e-04	1.545870e-02	-8.949845e-02	-1.045795e-01	-3.776696e-04	1.545870e-02	-2.253678e-01	-2.404419e-01	-3.846533e-04	1.545870e-02	-3.823099e-01	-3.974418e-01	-3.268455e-04	1.545870e-02	-4.653666e-01	-4.806259e-01	-1.994104e-04	1.545870e-02	-4.573876e-01	-4.727979e-01	-4.842873e-05	1.545870e-02	-4.632496e-01	-4.787150e-01	6.627631e-06	1.545870e-02	-4.860133e-01	-5.014906e-01	1.858150e-05	1.545870e-02	-5.237193e-01	-5.391902e-01	1.220333e-05	1.545870e-02	-5.646547e-01	-5.801083e-01	-5.067843e-06	1.545870e-02	-5.695597e-01	-5.849596e-01	-5.876599e-05	1.545870e-02	-5.878327e-01	-6.031404e-01	-1.509741e-04	1.545870e-02	-5.944649e-01	-6.096606e-01	-2.629987e-04	1.545870e-02	-5.777124e-01	-5.928286e-01	-3.425173e-04	1.545870e-02	-5.690203e-01	-5.839816e-01	-4.973516e-04	1.545870e-02
11            	3.614309e-02	2.082343e-02	1.040424e-04	1.521562e-02	1.982080e-02	4.487617e-03	1.175697e-04	1.521562e-02	9.422422e-02	7.891892e-02	8.967338e-05	1.521562e-02	1.060054e-01	9.071710e-02	7.273090e-05	1.521562e-02	1.348332e-01	1.196662e-01	-4.859348e-05	1.521562e-02	1.092210e-01	9.428362e-02	-2.782590e-04	1.521562e-02	5.042348e-02	3.567598e-02	-4.681185e-04	1.521562e-02	-1.511084e-02	-2.985413e-02	-4.723264e-04	1.521562e-02	-1.082766e-01	-1.230959e-01	-3.962677e-04	1.521562e-02	-1.049247e-01	-1.198891e-01	-2.511697e-04	1.521562e-02	-3.115079e-02	-4.627555e-02	-9.085992e-05	1.521562e-02	-4.769783e-05	-1.520724e-02	-5.607779e-05	1.521562e-02	5.162529e-03	-9.985858e-03	-6.723169e-05	1.521562e-02	-6.421624e-04	-1.577310e-02	-8.467896e-05	1.521562e-02	-3.762222e-03	-1.887032e-02	-1.075237e-04	1.521562e-02	2.515553e-03	-1.252625e-02	-1.738140e-04	1.521562e-02	2.567298e-03	-1.234982e-02	-2.984998e-04	1.521562e-02	1.194808e-02	-2.817833e-03	-4.497066e-04	1.521562e-02	1.358541e-02	-1.088530e-03	-5.416820e-04	1.521562e-02	8.577808e-03	-5.992661e-03	-6.451488e-04	1.521562e-02
12            	3.748283e-02	2.246591e-02	8.945758e-05	1.492746e-02	1.811820e-02	3.093560e-03	9.718042e-05	1.492746e-02	1.056353e-01	9.064158e-02	6.626752e-05	1.492746e-02	1.176769e-01	1.026986e-01	5.082740e-05	1.492746e-02	1.625215e-01	1.476529e-01	-5.883708e-05	1.492746e-02	1.601030e-01	1.454370e-01	-2.614326e-04	1.492746e-02	1.394305e-01	1.249519e-01	-4.488623e-04	1.492746e-02	1.268657e-01	1.123825e-01	-4.442159e-04	1.492746e-02	1.123224e-01	9.774908e-02	-3.541494e-04	1.492746e-02	1.663090e-01	1.515880e-01	-2.064300e-04	1.492746e-02	2.659243e-01	2.510533e-01	-5.643211e-05	1.492746e-02	3.093715e-01	2.944859e-01	-4.193737e-05	1.492746e-02	3.318616e-01	3.169950e-01	-6.082988e-05	1.492746e-02	3.536334e-01	3.387817e-01	-7.583703e-05	1.492746e-02	3.884274e-01	3.735950e-01	-9.506778e-05	1.492746e-02	4.288986e-01	4.141351e-01	-1.639200e-04	1.492746e-02	4.489403e-01	4.343041e-01	-2.913385e-04	1.492746e-02	4.598773e-01	4.453957e-01	-4.458009e-04	1.492746e-02	4.445897e-01	4.301985e-01	-5.363043e-04	1.492746e-02	4.256651e-01	4.114727e-01	-7.350554e-04	1.492746e-02
13            	4.603629e-02	3.091478e-02	9.129551e-05	1.503021e-02	4.881685e-02	3.368663e-02	1.000049e-04	1.503021e-02	1.260955e-01	1.109876e-01	7.768406e-05	1.503021e-02	1.490760e-01	1.339735e-01	7.235614e-05	1.503021e-02	1.986924e-01	1.836743e-01	-1.212698e-05	1.503021e-02	2.166644e-01	2.018180e-01	-1.837845e-04	1.503021e-02	2.082167e-01	1.935465e-01	-3.599515e-04	1.503021e-02	2.188868e-01	2.042018e-01	-3.452377e-04	1.503021e-02	2.424023e-01	2.276228e-01	-2.506453e-04	1.503021e-02	3.014779e-01	2.865620e-01	-1.143011e-04	1.503021e-02	3.988862e-01	3.838407e-01	1.535034e-05	1.503021e-02	4.519359e-01	4.368830e-01	2.264443e-05	1.503021e-02	4.980201e-01	4.829760e-01	1.385239e-05	1.503021e-02	5.519437e-01	5.369025e-01	1.092371e-05	1.503021e-02	6.231766e-01	6.081470e-01	-6.262576e-07	1.503021e-02	6.872699e-01	6.723025e-01	-6.277599e-05	1.503021e-02	7.213028e-01	7.064415e-01	-1.688650e-04	1.503021e-02	7.391726e-01	7.244332e-01	-2.908152e-04	1.503021e-02	7.222610e-01	7.075971e-01	-3.662957e-04	1.503021e-02	7.014844e-01	6.871190e-01	-6.648679e-04	1.503021e-02
14            	5.557122e-02	4.014721e-02	1.019820e-04	1.532203e-02	9.554363e-02	8.010483e-02	1.167725e-04	1.532203e-02	1.232502e-01	1.078220e-01	1.061784e-04	1.532203e-02	1.590122e-01	1.435809e-01	1.092543e-04	1.532203e-02	1.915913e-01	1.762293e-01	3.992589e-05	1.532203e-02	2.185495e-01	2.033446e-01	-1.171664e-04	1.532203e-02	1.819259e-01	1.668834e-01	-2.795942e-04	1.532203e-02	1.722351e-01	1.571724e-01	-2.593061e-04	1.532203e-02	1.834444e-01	1.682920e-01	-1.696433e-04	1.532203e-02	1.994365e-01	1.841629e-01	-4.845682e-05	1.532203e-02	2.590132e-01	2.436239e-01	6.733809e-05	1.532203e-02	2.951157e-01	2.797100e-01	8.367727e-05	1.532203e-02	3.352998e-01	3.198854e-01	9.237862e-05	1.532203e-02	3.857541e-01	3.703322e-01	9.989779e-05	1.532203e-02	4.503360e-01	4.349218e-01	9.211800e-05	1.532203e-02	5.111413e-01	4.957810e-01	3.823693e-05	1.532203e-02	5.337373e-01	5.184524e-01	-3.713104e-05	1.532203e-02	5.420628e-01	5.268483e-01	-1.075598e-04	1.532203e-02	5.326079e-01	5.174455e-01	-1.596999e-04	1.532203e-02	5.204274e-01	5.056111e-01	-5.056994e-04	1.532203e-02
15            	6.139637e-02	4.562894e-02	1.132921e-04	1.565415e-02	1.293354e-01	1.135486e-01	1.326486e-04	1.565415e-02	1.101617e-01	9.438047e-02	1.271235e-04	1.565415e-02	1.556952e-01	1.399085e-01	1.325287e-04	1.565415e-02	1.707852e-01	1.550672e-01	6.381914e-05	1.565415e-02	1.986630e-01	1.831090e-01	-1.001766e-04	1.565415e-02	1.252616e-01	1.098640e-01	-2.565882e-04	1.565415e-02	7.923189e-02	6.381847e-02	-2.407274e-04	1.565415e-02	5.413364e-02	3.864196e-02	-1.624663e-04	1.565415e-02	2.051374e-02	4.910503e-03	-5.090677e-05	1.565415e-02	4.164305e-02	2.592459e-02	6.431179e-05	1.565415e-02	5.313556e-02	3.738613e-02	9.528140e-05	1.565415e-02	7.033100e-02	5.456225e-02	1.146012e-04	1.565415e-02	9.424996e-02	7.847266e-02	1.231499e-04	1.565415e-02	1.259660e-01	1.101997e-01	1.121538e-04	1.565415e-02	1.715251e-01	1.558094e-01	6.150747e-05	1.565415e-02	1.763383e-01	1.606764e-01	7.753175e-06	1.565415e-02	1.733964e-01	1.577686e-01	-2.636876e-05	1.565415e-02	1.764373e-01	1.608440e-01	-6.090282e-05	1.565415e-02	1.763132e-01	1.610389e-01	-3.798439e-04	1.565415e-02
16            	6.250928e-02	4.648076e-02	1.187431e-04	1.590977e-02	1.316185e-01	1.155695e-01	1.392431e-04	1.590977e-02	1.123098e-01	9.626854e-02	1.314958e-04	1.590977e-02	1.615455e-01	1.455016e-01	1.342070e-04	1.590977e-02	1.792808e-01	1.633124e-01	5.862519e-05	1.590977e-02	2.043419e-01	1.885528e-01	-1.206349e-04	1.590977e-02	1.209385e-01	1.053083e-01	-2.795994e-04	1.590977e-02	5.588333e-02	4.024590e-02	-2.723416e-04	1.590977e-02	2.021592e-03	-1.368388e-02	-2.042963e-04	1.590977e-02	-4.594215e-02	-6.175805e-02	-9.387365e-05	1.590977e-02	-2.697270e-02	-4.291181e-02	2.934518e-05	1.590977e-02	-1.673289e-02	-3.271147e-02	6.880205e-05	1.590977e-02	-6.483564e-03	-2.247991e-02	8.657703e-05	1.590977e-02	4.758355e-03	-1.123987e-02	8.845843e-05	1.590977e-02	1.955792e-02	3.577311e-03	7.083624e-05	1.590977e-02	5.724914e-02	4.132168e-02	1.769029e-05	1.590977e-02	6.224548e-02	4.636584e-02	-3.013557e-05	1.590977e-02	6.907587e-02	5.322030e-02	-5.420278e-05	1.590977e-02	8.549742e-02	6.967103e-02	-8.337585e-05	1.590977e-02	9.409556e-02	7.850876e-02	-3.229684e-04	1.590977e-02
17            	5.987565e-02	4.372007e-02	1.184107e-04	1.603717e-02	1.119603e-01	9.578522e-02	1.379177e-04	1.603717e-02	1.178556e-01	1.016927e-01	1.256932e-04	1.603717e-02	1.606060e-01	1.444441e-01	1.246818e-04	1.603717e-02	1.848794e-01	1.687995e-01	4.272110e-05	1.603717e-02	2.005093e-01	1.846180e-01	-1.459283e-04	1.603717e-02	1.242766e-01	1.085500e-01	-3.106219e-04	1.603717e-02	6.153155e-02	4.580428e-02	-3.099071e-04	1.603717e-02	7.911653e-03	-7.879350e-03	-2.461716e-04	1.603717e-02	-1.710831e-02	-3.301449e-02	-1.309958e-04	1.603717e-02	3.071236e-02	1.467445e-02	7.370725e-07	1.603717e-02	5.916488e-02	4.308896e-02	3.874206e-05	1.603717e-02	7.843290e-02	6.234782e-02	4.790911e-05	1.603717e-02	9.276175e-02	7.668181e-02	4.277288e-05	1.603717e-02	1.089132e-01	9.285502e-02	2.098187e-05	1.603717e-02	1.571287e-01	1.411281e-01	-3.664901e-05	1.603717e-02	1.745848e-01	1.586373e-01	-8.969688e-05	1.603717e-02	1.926035e-01	1.766901e-01	-1.237738e-04	1.603717e-02	2.146377e-01	1.987602e-01	-1.597084e-04	1.603717e-02	2.247964e-01	2.090709e-01	-3.116821e-04	1.603717e-02
18            	5.606128e-02	3.973712e-02	1.180789e-04	1.620609e-02	8.336207e-02	6.701995e-02	1.360280e-04	1.620609e-02	1.261348e-01	1.098078e-01	1.209503e-04	1.620609e-02	1.578859e-01	1.415619e-01	1.179245e-04	1.620609e-02	1.906258e-01	1.743844e-01	3.523457e-05	1.620609e-02	1.958720e-01	1.798169e-01	-1.509913e-04	1.620609e-02	1.404742e-01	1.245857e-01	-3.176369e-04	1.620609e-02	9.690031e-02	8.101136e-02	-3.171414e-04	1.620609e-02	6.001043e-02	4.405492e-02	-2.505789e-04	1.620609e-02	7.211137e-02	5.603481e-02	-1.295330e-04	1.620609e-02	1.546681e-01	1.384565e-01	5.430338e-06	1.620609e-02	2.047313e-01	1.884901e-01	3.517011e-05	1.620609e-02	2.398530e-01	2.236114e-01	3.549779e-05	1.620609e-02	2.680793e-01	2.518460e-01	2.721884e-05	1.620609e-02	3.002040e-01	2.839923e-01	5.664215e-06	1.620609e-02	3.559485e-01	3.397976e-01	-5.516513e-05	1.620609e-02	3.858900e-01	3.698024e-01	-1.184659e-04	1.620609e-02	4.128639e-01	3.968292e-01	-1.713355e-04	1.620609e-02	4.311523e-01	4.151659e-01	-2.196734e-04	1.620609e-02	4.377380e-01	4.218510e-01	-3.190677e-04	1.620609e-02
19            	5.623710e-02	3.975010e-02	1.190130e-04	1.636798e-02	7.836940e-02	6.186550e-02	1.359085e-04	1.636798e-02	1.260218e-01	1.095332e-01	1.206229e-04	1.636798e-02	1.527531e-01	1.362675e-01	1.175983e-04	1.636798e-02	1.838139e-01	1.674074e-01	3.851112e-05	1.636798e-02	1.881664e-01	1.719352e-01	-1.367637e-04	1.636798e-02	1.431853e-01	1.271163e-01	-2.989905e-04	1.636798e-02	1.169104e-01	1.008364e-01	-2.939499e-04	1.636798e-02	1.038702e-01	8.772311e-02	-2.208747e-04	1.636798e-02	1.350606e-01	1.187897e-01	-9.711654e-05	1.636798e-02	2.267813e-01	2.103783e-01	3.495171e-05	1.636798e-02	2.779832e-01	2.615579e-01	5.723063e-05	1.636798e-02	3.145581e-01	2.981353e-01	5.480222e-05	1.636798e-02	3.470312e-01	3.306147e-01	4.856989e-05	1.636798e-02	3.877953e-01	3.713970e-01	3.029519e-05	1.636798e-02	4.440676e-01	4.277307e-01	-3.110735e-05	1.636798e-02	4.730444e-01	4.567792e-01	-1.027861e-04	1.636798e-02	4.940968e-01	4.778983e-01	-1.694359e-04	1.636798e-02	5.033222e-01	4.871798e-01	-2.254957e-04	1.636798e-02	5.050361e-01	4.889866e-01	-3.185260e-04	1.636798e-02
