# Drag coefficient bins
# bins        : 20
# start       : 2.016667e+00
# delta       : 1.567777e-01
# direction   : (1.000000e+00 0.000000e+00 0.000000e+00)
# x co-ords  :	2.173444e+00	2.330222e+00	2.487000e+00	2.643777e+00	2.800555e+00	2.957333e+00	3.114110e+00	3.270888e+00	3.427666e+00	3.584443e+00	3.741221e+00	3.897999e+00	4.054776e+00	4.211554e+00	4.368332e+00	4.525109e+00	4.681887e+00	4.838665e+00	4.995442e+00	5.152220e+00
# y co-ords  :	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# z co-ords  :	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
#
# Time        	0:total       	0:pressure    	0:viscous     	0:porous      	1:total       	1:pressure    	1:viscous     	1:porous      	2:total       	2:pressure    	2:viscous     	2:porous      	3:total       	3:pressure    	3:viscous     	3:porous      	4:total       	4:pressure    	4:viscous     	4:porous      	5:total       	5:pressure    	5:viscous     	5:porous      	6:total       	6:pressure    	6:viscous     	6:porous      	7:total       	7:pressure    	7:viscous     	7:porous      	8:total       	8:pressure    	8:viscous     	8:porous      	9:total       	9:pressure    	9:viscous     	9:porous      	10:total      	10:pressure   	10:viscous    	10:porous     	11:total      	11:pressure   	11:viscous    	11:porous     	12:total      	12:pressure   	12:viscous    	12:porous     	13:total      	13:pressure   	13:viscous    	13:porous     	14:total      	14:pressure   	14:viscous    	14:porous     	15:total      	15:pressure   	15:viscous    	15:porous     	16:total      	16:pressure   	16:viscous    	16:porous     	17:total      	17:pressure   	17:viscous    	17:porous     	18:total      	18:pressure   	18:viscous    	18:porous     	19:total      	19:pressure   	19:viscous    	19:porous     
1             	1.641237e+00	1.441052e+00	2.668562e-04	1.999182e-01	1.736653e+00	1.536272e+00	4.623331e-04	1.999182e-01	1.235781e+00	1.035186e+00	6.767710e-04	1.999182e-01	1.647805e+00	1.447110e+00	7.761604e-04	1.999182e-01	3.356183e+00	3.155340e+00	9.249783e-04	1.999182e-01	4.977971e+00	4.776989e+00	1.064058e-03	1.999182e-01	6.005519e+00	5.804389e+00	1.212503e-03	1.999182e-01	6.797824e+00	6.596551e+00	1.354041e-03	1.999182e-01	7.553767e+00	7.352333e+00	1.515742e-03	1.999182e-01	8.236265e+00	8.034685e+00	1.662136e-03	1.999182e-01	8.358951e+00	8.157232e+00	1.800678e-03	1.999182e-01	8.359079e+00	8.157232e+00	1.928860e-03	1.999182e-01	8.359206e+00	8.157232e+00	2.056232e-03	1.999182e-01	8.359334e+00	8.157232e+00	2.184208e-03	1.999182e-01	8.359465e+00	8.157232e+00	2.315154e-03	1.999182e-01	8.310274e+00	8.107859e+00	2.495988e-03	1.999182e-01	8.335526e+00	8.132963e+00	2.644876e-03	1.999182e-01	8.439397e+00	8.236680e+00	2.799386e-03	1.999182e-01	8.553271e+00	8.350416e+00	2.936939e-03	1.999182e-01	9.392616e+00	9.189435e+00	3.262976e-03	1.999182e-01
2             	1.613959e+00	1.413888e+00	2.491725e-04	1.998219e-01	1.707003e+00	1.506764e+00	4.177367e-04	1.998219e-01	1.209577e+00	1.009153e+00	6.019381e-04	1.998219e-01	1.606668e+00	1.406273e+00	5.726853e-04	1.998219e-01	3.232664e+00	3.032282e+00	5.596785e-04	1.998219e-01	4.777251e+00	4.576778e+00	6.505381e-04	1.998219e-01	5.791740e+00	5.591086e+00	8.312707e-04	1.998219e-01	6.573118e+00	6.372254e+00	1.042413e-03	1.998219e-01	7.314210e+00	7.113090e+00	1.297925e-03	1.998219e-01	7.978461e+00	7.777106e+00	1.532216e-03	1.998219e-01	8.094974e+00	7.893378e+00	1.774431e-03	1.998219e-01	8.095197e+00	7.893378e+00	1.997646e-03	1.998219e-01	8.095417e+00	7.893378e+00	2.217149e-03	1.998219e-01	8.095637e+00	7.893378e+00	2.437408e-03	1.998219e-01	8.095865e+00	7.893378e+00	2.665044e-03	1.998219e-01	8.089276e+00	7.886477e+00	2.977169e-03	1.998219e-01	8.147874e+00	7.944832e+00	3.220346e-03	1.998219e-01	8.260548e+00	8.057277e+00	3.448591e-03	1.998219e-01	8.368537e+00	8.165081e+00	3.634786e-03	1.998219e-01	8.976962e+00	8.773149e+00	3.991011e-03	1.998219e-01
3             	3.779774e-01	1.779639e-01	2.894725e-04	1.997240e-01	3.882104e-01	1.880441e-01	4.422561e-04	1.997240e-01	3.327627e-01	1.324426e-01	5.960648e-04	1.997240e-01	3.831098e-01	1.828405e-01	5.453106e-04	1.997240e-01	5.508026e-01	3.505808e-01	4.977854e-04	1.997240e-01	6.747271e-01	4.744105e-01	5.925609e-04	1.997240e-01	8.238110e-01	6.232020e-01	8.849956e-04	1.997240e-01	9.544978e-01	7.535567e-01	1.217070e-03	1.997240e-01	1.060708e+00	8.593903e-01	1.593414e-03	1.997240e-01	1.130535e+00	9.288929e-01	1.918010e-03	1.997240e-01	1.134048e+00	9.320447e-01	2.278899e-03	1.997240e-01	1.134351e+00	9.320447e-01	2.582658e-03	1.997240e-01	1.134640e+00	9.320447e-01	2.870916e-03	1.997240e-01	1.134927e+00	9.320447e-01	3.158025e-03	1.997240e-01	1.135232e+00	9.320447e-01	3.462973e-03	1.997240e-01	1.203288e+00	9.996494e-01	3.914680e-03	1.997240e-01	1.261190e+00	1.057236e+00	4.230012e-03	1.997240e-01	1.290683e+00	1.086456e+00	4.503052e-03	1.997240e-01	1.292363e+00	1.087914e+00	4.724502e-03	1.997240e-01	1.071778e+00	8.670757e-01	4.977879e-03	1.997240e-01
4             	-5.915495e-01	-7.915586e-01	3.805521e-04	1.996285e-01	-6.482450e-01	-8.484691e-01	5.955216e-04	1.996285e-01	-3.639895e-01	-5.643951e-01	7.770602e-04	1.996285e-01	-5.851798e-01	-7.856074e-01	7.991166e-04	1.996285e-01	-1.524607e+00	-1.725103e+00	8.676452e-04	1.996285e-01	-2.459975e+00	-2.660646e+00	1.042682e-03	1.996285e-01	-3.040623e+00	-3.241675e+00	1.423407e-03	1.996285e-01	-3.487700e+00	-3.689126e+00	1.797785e-03	1.996285e-01	-3.935196e+00	-4.137034e+00	2.209240e-03	1.996285e-01	-4.372733e+00	-4.574933e+00	2.570697e-03	1.996285e-01	-4.462343e+00	-4.664991e+00	3.019134e-03	1.996285e-01	-4.462018e+00	-4.664991e+00	3.344143e-03	1.996285e-01	-4.461737e+00	-4.664991e+00	3.625876e-03	1.996285e-01	-4.461464e+00	-4.664991e+00	3.898702e-03	1.996285e-01	-4.461165e+00	-4.664991e+00	4.197772e-03	1.996285e-01	-4.339735e+00	-4.544075e+00	4.711071e-03	1.996285e-01	-4.287771e+00	-4.492388e+00	4.988286e-03	1.996285e-01	-4.297433e+00	-4.502269e+00	5.207172e-03	1.996285e-01	-4.338441e+00	-4.543461e+00	5.391387e-03	1.996285e-01	-4.747547e+00	-4.952514e+00	5.338070e-03	1.996285e-01
5             	-5.780806e-01	-7.780596e-01	4.378499e-04	1.995412e-01	-6.330969e-01	-8.333715e-01	7.334755e-04	1.995412e-01	-3.526108e-01	-5.531370e-01	9.849593e-04	1.995412e-01	-5.681228e-01	-7.688025e-01	1.138591e-03	1.995412e-01	-1.453906e+00	-1.654874e+00	1.426666e-03	1.995412e-01	-2.318400e+00	-2.519648e+00	1.706685e-03	1.995412e-01	-2.909827e+00	-3.111474e+00	2.105603e-03	1.995412e-01	-3.379026e+00	-3.580974e+00	2.407066e-03	1.995412e-01	-3.835169e+00	-4.037445e+00	2.735083e-03	1.995412e-01	-4.262707e+00	-4.465306e+00	3.057624e-03	1.995412e-01	-4.345662e+00	-4.548711e+00	3.508206e-03	1.995412e-01	-4.345376e+00	-4.548711e+00	3.794327e-03	1.995412e-01	-4.345144e+00	-4.548711e+00	4.025823e-03	1.995412e-01	-4.344929e+00	-4.548711e+00	4.241114e-03	1.995412e-01	-4.344694e+00	-4.548711e+00	4.475957e-03	1.995412e-01	-4.264825e+00	-4.469261e+00	4.894887e-03	1.995412e-01	-4.264412e+00	-4.468979e+00	5.026049e-03	1.995412e-01	-4.310519e+00	-4.515208e+00	5.147766e-03	1.995412e-01	-4.367057e+00	-4.571874e+00	5.275940e-03	1.995412e-01	-4.593392e+00	-4.798116e+00	5.182099e-03	1.995412e-01
6             	4.047998e-02	-1.594120e-01	4.362161e-04	1.994557e-01	2.658894e-02	-1.736301e-01	7.632749e-04	1.994557e-01	6.980638e-02	-1.307063e-01	1.056992e-03	1.994557e-01	2.918666e-02	-1.714955e-01	1.226465e-03	1.994557e-01	-1.023586e-01	-3.033470e-01	1.532743e-03	1.994557e-01	-2.160587e-01	-4.173531e-01	1.838618e-03	1.994557e-01	-3.729924e-01	-5.746528e-01	2.204589e-03	1.994557e-01	-5.238325e-01	-7.256921e-01	2.403859e-03	1.994557e-01	-6.609729e-01	-8.630607e-01	2.632018e-03	1.994557e-01	-7.825561e-01	-9.849142e-01	2.902379e-03	1.994557e-01	-8.061723e-01	-1.008927e+00	3.298781e-03	1.994557e-01	-8.059329e-01	-1.008927e+00	3.538148e-03	1.994557e-01	-8.057275e-01	-1.008927e+00	3.743596e-03	1.994557e-01	-8.055389e-01	-1.008927e+00	3.932184e-03	1.994557e-01	-8.053461e-01	-1.008927e+00	4.124967e-03	1.994557e-01	-7.350421e-01	-9.389199e-01	4.422021e-03	1.994557e-01	-7.038597e-01	-9.078146e-01	4.499229e-03	1.994557e-01	-6.819524e-01	-8.860443e-01	4.636131e-03	1.994557e-01	-6.657103e-01	-8.699423e-01	4.776247e-03	1.994557e-01	-2.699172e-01	-4.740532e-01	4.680253e-03	1.994557e-01
7             	5.097206e-01	3.099515e-01	4.012017e-04	1.993679e-01	5.285489e-01	3.284803e-01	7.007215e-04	1.993679e-01	4.048869e-01	2.045244e-01	9.946267e-04	1.993679e-01	4.957091e-01	2.952224e-01	1.118807e-03	1.993679e-01	8.997509e-01	6.990710e-01	1.311964e-03	1.993679e-01	1.298308e+00	1.097379e+00	1.561277e-03	1.993679e-01	1.507949e+00	1.306699e+00	1.881993e-03	1.993679e-01	1.655724e+00	1.454322e+00	2.034362e-03	1.993679e-01	1.802890e+00	1.601262e+00	2.259805e-03	1.993679e-01	1.935382e+00	1.733464e+00	2.550616e-03	1.993679e-01	1.957455e+00	1.755134e+00	2.953322e-03	1.993679e-01	1.957736e+00	1.755134e+00	3.234618e-03	1.993679e-01	1.957997e+00	1.755134e+00	3.495379e-03	1.993679e-01	1.958234e+00	1.755134e+00	3.731993e-03	1.993679e-01	1.958460e+00	1.755134e+00	3.958288e-03	1.993679e-01	2.016381e+00	1.812736e+00	4.276670e-03	1.993679e-01	2.063335e+00	1.859480e+00	4.486855e-03	1.993679e-01	2.115490e+00	1.911390e+00	4.732881e-03	1.993679e-01	2.162042e+00	1.957738e+00	4.936112e-03	1.993679e-01	2.638811e+00	2.434554e+00	4.889203e-03	1.993679e-01
8             	5.989584e-01	3.993087e-01	3.719509e-04	1.992778e-01	6.250524e-01	4.251494e-01	6.252541e-04	1.992778e-01	4.804282e-01	2.802587e-01	8.917069e-04	1.992778e-01	5.963786e-01	3.961257e-01	9.750738e-04	1.992778e-01	1.074632e+00	8.742748e-01	1.079194e-03	1.992778e-01	1.519857e+00	1.319323e+00	1.255875e-03	1.992778e-01	1.821998e+00	1.621170e+00	1.549812e-03	1.992778e-01	2.064508e+00	1.863493e+00	1.737084e-03	1.992778e-01	2.289360e+00	2.088021e+00	2.061484e-03	1.992778e-01	2.476907e+00	2.275186e+00	2.442864e-03	1.992778e-01	2.506050e+00	2.303846e+00	2.927045e-03	1.992778e-01	2.506443e+00	2.303846e+00	3.319468e-03	1.992778e-01	2.506805e+00	2.303846e+00	3.681643e-03	1.992778e-01	2.507127e+00	2.303846e+00	4.003379e-03	1.992778e-01	2.507424e+00	2.303846e+00	4.301095e-03	1.992778e-01	2.540715e+00	2.336725e+00	4.712363e-03	1.992778e-01	2.565615e+00	2.361288e+00	5.048772e-03	1.992778e-01	2.594337e+00	2.389683e+00	5.376682e-03	1.992778e-01	2.623317e+00	2.418408e+00	5.631032e-03	1.992778e-01	2.807541e+00	2.602551e+00	5.712283e-03	1.992778e-01
9             	5.184668e-01	3.189111e-01	3.671843e-04	1.991885e-01	5.398126e-01	3.400167e-01	6.073611e-04	1.991885e-01	4.380461e-01	2.379979e-01	8.596461e-04	1.991885e-01	5.286056e-01	3.284675e-01	9.495522e-04	1.991885e-01	8.712110e-01	6.709670e-01	1.055420e-03	1.991885e-01	1.162656e+00	9.622600e-01	1.207122e-03	1.991885e-01	1.398463e+00	1.197770e+00	1.504396e-03	1.991885e-01	1.597243e+00	1.396283e+00	1.771641e-03	1.991885e-01	1.770600e+00	1.569197e+00	2.214091e-03	1.991885e-01	1.905895e+00	1.704024e+00	2.681955e-03	1.991885e-01	1.924127e+00	1.721689e+00	3.248611e-03	1.991885e-01	1.924608e+00	1.721689e+00	3.730327e-03	1.991885e-01	1.925041e+00	1.721689e+00	4.163356e-03	1.991885e-01	1.925423e+00	1.721689e+00	4.544558e-03	1.991885e-01	1.925774e+00	1.721689e+00	4.895693e-03	1.991885e-01	1.910788e+00	1.706238e+00	5.361973e-03	1.991885e-01	1.872319e+00	1.667395e+00	5.734700e-03	1.991885e-01	1.830757e+00	1.625485e+00	6.084343e-03	1.991885e-01	1.802587e+00	1.597046e+00	6.352452e-03	1.991885e-01	1.542034e+00	1.336343e+00	6.502809e-03	1.991885e-01
10            	2.750049e-01	7.552535e-02	3.770914e-04	1.991024e-01	2.790130e-01	7.926821e-02	6.423559e-04	1.991024e-01	2.634864e-01	6.347260e-02	9.113129e-04	1.991024e-01	2.860864e-01	8.596634e-02	1.017668e-03	1.991024e-01	3.492795e-01	1.489908e-01	1.186254e-03	1.991024e-01	3.706325e-01	1.701554e-01	1.374674e-03	1.991024e-01	4.096644e-01	2.088659e-01	1.696037e-03	1.991024e-01	4.445429e-01	2.434094e-01	2.031016e-03	1.991024e-01	4.620552e-01	2.604201e-01	2.532589e-03	1.991024e-01	4.606411e-01	2.585145e-01	3.024099e-03	1.991024e-01	4.541653e-01	2.514473e-01	3.615484e-03	1.991024e-01	4.546626e-01	2.514473e-01	4.112874e-03	1.991024e-01	4.551017e-01	2.514473e-01	4.551882e-03	1.991024e-01	4.554908e-01	2.514473e-01	4.941044e-03	1.991024e-01	4.558547e-01	2.514473e-01	5.304957e-03	1.991024e-01	4.480541e-01	2.431823e-01	5.769337e-03	1.991024e-01	4.129111e-01	2.076901e-01	6.118532e-03	1.991024e-01	3.744689e-01	1.689096e-01	6.456876e-03	1.991024e-01	3.419415e-01	1.361289e-01	6.710074e-03	1.991024e-01	3.139849e-02	-1.744895e-01	6.785566e-03	1.991024e-01
11            	4.919532e-02	-1.502057e-01	3.813354e-04	1.990197e-01	3.648431e-02	-1.632081e-01	6.727121e-04	1.990197e-01	9.041323e-02	-1.095715e-01	9.649870e-04	1.990197e-01	5.248080e-02	-1.476219e-01	1.082981e-03	1.990197e-01	-1.114356e-01	-3.117522e-01	1.296843e-03	1.990197e-01	-2.908654e-01	-4.914226e-01	1.537380e-03	1.990197e-01	-4.234500e-01	-6.243488e-01	1.879144e-03	1.990197e-01	-5.364358e-01	-7.376827e-01	2.227182e-03	1.990197e-01	-6.532516e-01	-8.549635e-01	2.692130e-03	1.990197e-01	-7.705776e-01	-9.727297e-01	3.132415e-03	1.990197e-01	-7.974424e-01	-1.000145e+00	3.683038e-03	1.990197e-01	-7.969933e-01	-1.000145e+00	4.132165e-03	1.990197e-01	-7.965954e-01	-1.000145e+00	4.530048e-03	1.990197e-01	-7.962324e-01	-1.000145e+00	4.893094e-03	1.990197e-01	-7.958827e-01	-1.000145e+00	5.242720e-03	1.990197e-01	-7.482592e-01	-9.529564e-01	5.677548e-03	1.990197e-01	-7.185719e-01	-9.235734e-01	5.981726e-03	1.990197e-01	-6.906817e-01	-8.959858e-01	6.284441e-03	1.990197e-01	-6.792458e-01	-8.847674e-01	6.501861e-03	1.990197e-01	-7.029748e-01	-9.084668e-01	6.472274e-03	1.990197e-01
12            	2.354958e-02	-1.757685e-01	3.789642e-04	1.989391e-01	8.845555e-03	-1.907714e-01	6.778430e-04	1.989391e-01	6.697724e-02	-1.329377e-01	9.757705e-04	1.989391e-01	2.322369e-02	-1.768088e-01	1.093307e-03	1.989391e-01	-1.506395e-01	-3.508831e-01	1.304437e-03	1.989391e-01	-3.232888e-01	-5.237914e-01	1.563412e-03	1.989391e-01	-4.644268e-01	-6.652663e-01	1.900307e-03	1.989391e-01	-5.853837e-01	-7.865223e-01	2.199431e-03	1.989391e-01	-7.034889e-01	-9.049843e-01	2.556315e-03	1.989391e-01	-8.186471e-01	-1.020497e+00	2.910913e-03	1.989391e-01	-8.441953e-01	-1.046526e+00	3.391926e-03	1.989391e-01	-8.438114e-01	-1.046526e+00	3.775832e-03	1.989391e-01	-8.434590e-01	-1.046526e+00	4.128178e-03	1.989391e-01	-8.431202e-01	-1.046526e+00	4.466973e-03	1.989391e-01	-8.427823e-01	-1.046526e+00	4.804853e-03	1.989391e-01	-7.714098e-01	-9.755633e-01	5.214434e-03	1.989391e-01	-7.160970e-01	-9.205123e-01	5.476235e-03	1.989391e-01	-6.709649e-01	-8.756274e-01	5.723334e-03	1.989391e-01	-6.500689e-01	-8.549094e-01	5.901399e-03	1.989391e-01	-5.356552e-01	-7.404172e-01	5.822848e-03	1.989391e-01
13            	7.935628e-02	-1.198737e-01	3.716288e-04	1.988583e-01	6.872331e-02	-1.307934e-01	6.583626e-04	1.988583e-01	1.028220e-01	-9.697741e-02	9.411392e-04	1.988583e-01	7.717268e-02	-1.227350e-01	1.049371e-03	1.988583e-01	-1.762199e-02	-2.177065e-01	1.226189e-03	1.988583e-01	-1.087870e-01	-3.091058e-01	1.460474e-03	1.988583e-01	-1.964703e-01	-3.970962e-01	1.767574e-03	1.988583e-01	-2.726864e-01	-4.735395e-01	1.994785e-03	1.988583e-01	-3.473383e-01	-5.484474e-01	2.250828e-03	1.988583e-01	-4.285497e-01	-6.299582e-01	2.550129e-03	1.988583e-01	-4.484783e-01	-6.503223e-01	2.985722e-03	1.988583e-01	-4.481291e-01	-6.503223e-01	3.334883e-03	1.988583e-01	-4.477943e-01	-6.503223e-01	3.669700e-03	1.988583e-01	-4.474568e-01	-6.503223e-01	4.007187e-03	1.988583e-01	-4.471116e-01	-6.503223e-01	4.352425e-03	1.988583e-01	-3.492841e-01	-5.528977e-01	4.755277e-03	1.988583e-01	-2.649369e-01	-4.687783e-01	4.983094e-03	1.988583e-01	-1.909224e-01	-3.949506e-01	5.169870e-03	1.988583e-01	-1.422361e-01	-3.464256e-01	5.331215e-03	1.988583e-01	1.849899e-01	-1.913726e-02	5.268822e-03	1.988583e-01
14            	2.332575e-01	3.412102e-02	3.604963e-04	1.987760e-01	2.338866e-01	3.448751e-02	6.231140e-04	1.987760e-01	2.178242e-01	1.816998e-02	8.782570e-04	1.987760e-01	2.338502e-01	3.409974e-02	9.744514e-04	1.987760e-01	3.003979e-01	1.005046e-01	1.117330e-03	1.987760e-01	3.565711e-01	1.564840e-01	1.311082e-03	1.987760e-01	3.797000e-01	1.793369e-01	1.587145e-03	1.987760e-01	3.951743e-01	1.946258e-01	1.772550e-03	1.987760e-01	4.047751e-01	2.040000e-01	1.999136e-03	1.987760e-01	3.956393e-01	1.945560e-01	2.307377e-03	1.987760e-01	3.884691e-01	1.869421e-01	2.751012e-03	1.987760e-01	3.888327e-01	1.869421e-01	3.114621e-03	1.987760e-01	3.891843e-01	1.869421e-01	3.466228e-03	1.987760e-01	3.895414e-01	1.869421e-01	3.823341e-03	1.987760e-01	3.899088e-01	1.869421e-01	4.190791e-03	1.987760e-01	4.632846e-01	2.599053e-01	4.603286e-03	1.987760e-01	5.179406e-01	3.143536e-01	4.811009e-03	1.987760e-01	5.641065e-01	3.603616e-01	4.968986e-03	1.987760e-01	5.991399e-01	3.952200e-01	5.143936e-03	1.987760e-01	8.558888e-01	6.519752e-01	5.137642e-03	1.987760e-01
15            	3.692785e-01	1.702323e-01	3.536402e-04	1.986926e-01	3.796678e-01	1.803729e-01	6.023099e-04	1.986926e-01	3.222200e-01	1.226836e-01	8.437452e-04	1.986926e-01	3.727751e-01	1.731459e-01	9.366776e-04	1.986926e-01	5.688177e-01	3.690521e-01	1.072985e-03	1.986926e-01	7.381442e-01	5.382065e-01	1.245170e-03	1.986926e-01	8.491587e-01	6.489563e-01	1.509884e-03	1.986926e-01	9.369389e-01	7.365384e-01	1.707894e-03	1.986926e-01	1.012569e+00	8.118951e-01	1.981259e-03	1.986926e-01	1.064167e+00	8.631330e-01	2.341841e-03	1.986926e-01	1.068322e+00	8.668023e-01	2.827336e-03	1.986926e-01	1.068724e+00	8.668023e-01	3.229468e-03	1.986926e-01	1.069104e+00	8.668023e-01	3.608890e-03	1.986926e-01	1.069482e+00	8.668023e-01	3.986772e-03	1.986926e-01	1.069869e+00	8.668023e-01	4.373829e-03	1.986926e-01	1.093133e+00	8.896391e-01	4.801639e-03	1.986926e-01	1.092017e+00	8.883105e-01	5.013589e-03	1.986926e-01	1.085193e+00	8.813030e-01	5.197500e-03	1.986926e-01	1.083944e+00	8.798525e-01	5.399353e-03	1.986926e-01	1.100679e+00	8.965442e-01	5.442052e-03	1.986926e-01
16            	3.736532e-01	1.746926e-01	3.515699e-04	1.986090e-01	3.840210e-01	1.848113e-01	6.007068e-04	1.986090e-01	3.257599e-01	1.263043e-01	8.466125e-04	1.986090e-01	3.760420e-01	1.764894e-01	9.435627e-04	1.986090e-01	5.686722e-01	3.689685e-01	1.094725e-03	1.986090e-01	7.294024e-01	5.295206e-01	1.272826e-03	1.986090e-01	8.351771e-01	6.350241e-01	1.544024e-03	1.986090e-01	9.185718e-01	7.181832e-01	1.779517e-03	1.986090e-01	9.888088e-01	7.880787e-01	2.121077e-03	1.986090e-01	1.037401e+00	8.362629e-01	2.528874e-03	1.986090e-01	1.041114e+00	8.394569e-01	3.048485e-03	1.986090e-01	1.041544e+00	8.394569e-01	3.477611e-03	1.986090e-01	1.041938e+00	8.394569e-01	3.872582e-03	1.986090e-01	1.042324e+00	8.394569e-01	4.258532e-03	1.986090e-01	1.042720e+00	8.394569e-01	4.653634e-03	1.986090e-01	1.050546e+00	8.468400e-01	5.097074e-03	1.986090e-01	1.037769e+00	8.338293e-01	5.330819e-03	1.986090e-01	1.025825e+00	8.216602e-01	5.555421e-03	1.986090e-01	1.020611e+00	8.162278e-01	5.774322e-03	1.986090e-01	9.588448e-01	7.543980e-01	5.837744e-03	1.986090e-01
17            	2.979880e-01	9.910879e-02	3.530043e-04	1.985262e-01	3.026010e-01	1.034655e-01	6.092825e-04	1.985262e-01	2.698183e-01	7.042542e-02	8.666951e-04	1.985262e-01	2.988707e-01	9.937588e-02	9.686160e-04	1.985262e-01	4.083985e-01	2.087374e-01	1.134805e-03	1.985262e-01	4.909834e-01	2.911266e-01	1.330594e-03	1.985262e-01	5.424257e-01	3.422889e-01	1.610585e-03	1.985262e-01	5.829076e-01	3.825104e-01	1.870963e-03	1.985262e-01	6.133869e-01	4.126154e-01	2.245262e-03	1.985262e-01	6.290411e-01	4.278554e-01	2.659488e-03	1.985262e-01	6.269963e-01	4.252917e-01	3.178368e-03	1.985262e-01	6.274228e-01	4.252917e-01	3.604855e-03	1.985262e-01	6.278140e-01	4.252917e-01	3.996115e-03	1.985262e-01	6.281952e-01	4.252917e-01	4.377258e-03	1.985262e-01	6.285894e-01	4.252917e-01	4.771473e-03	1.985262e-01	6.335454e-01	4.297911e-01	5.228098e-03	1.985262e-01	6.198295e-01	4.158194e-01	5.483944e-03	1.985262e-01	6.046777e-01	4.004200e-01	5.731489e-03	1.985262e-01	5.904966e-01	3.860262e-01	5.944265e-03	1.985262e-01	4.372302e-01	2.326987e-01	6.005317e-03	1.985262e-01
18            	1.825670e-01	-1.623426e-02	3.570183e-04	1.984442e-01	1.788949e-01	-2.017014e-02	6.208143e-04	1.984442e-01	1.831224e-01	-1.620815e-02	8.863515e-04	1.984442e-01	1.824078e-01	-1.702668e-02	9.902848e-04	1.984442e-01	1.766254e-01	-2.297751e-02	1.158718e-03	1.984442e-01	1.537909e-01	-4.601834e-02	1.364988e-03	1.984442e-01	1.296676e-01	-7.041968e-02	1.643089e-03	1.984442e-01	1.092258e-01	-9.111492e-02	1.896526e-03	1.984442e-01	8.243908e-02	-1.182524e-01	2.247307e-03	1.984442e-01	4.554379e-02	-1.555254e-01	2.624970e-03	1.984442e-01	3.365606e-02	-1.678970e-01	3.108807e-03	1.984442e-01	3.405271e-02	-1.678970e-01	3.505463e-03	1.984442e-01	3.442322e-02	-1.678970e-01	3.875973e-03	1.984442e-01	3.478876e-02	-1.678970e-01	4.241514e-03	1.984442e-01	3.517480e-02	-1.678970e-01	4.627545e-03	1.984442e-01	6.826716e-02	-1.352646e-01	5.087554e-03	1.984442e-01	8.624559e-02	-1.175472e-01	5.348527e-03	1.984442e-01	9.937067e-02	-1.046570e-01	5.583482e-03	1.984442e-01	1.026172e-01	-1.015932e-01	5.766152e-03	1.984442e-01	4.367179e-02	-1.605776e-01	5.805145e-03	1.984442e-01
19            	1.599778e-01	-3.874499e-02	3.601449e-04	1.983626e-01	1.549265e-01	-4.406161e-02	6.254888e-04	1.983626e-01	1.660244e-01	-3.322763e-02	8.894457e-04	1.983626e-01	1.605167e-01	-3.883622e-02	9.903071e-04	1.983626e-01	1.369359e-01	-6.257480e-02	1.148083e-03	1.983626e-01	1.010459e-01	-9.866681e-02	1.350083e-03	1.983626e-01	6.684752e-02	-1.331309e-01	1.615802e-03	1.983626e-01	3.690479e-02	-1.632976e-01	1.839747e-03	1.983626e-01	1.463581e-03	-1.990349e-01	2.135905e-03	1.983626e-01	-4.439204e-02	-2.452202e-01	2.465551e-03	1.983626e-01	-5.800816e-02	-2.592804e-01	2.909640e-03	1.983626e-01	-5.764155e-02	-2.592804e-01	3.276246e-03	1.983626e-01	-5.729013e-02	-2.592804e-01	3.627673e-03	1.983626e-01	-5.693832e-02	-2.592804e-01	3.979476e-03	1.983626e-01	-5.656043e-02	-2.592804e-01	4.357365e-03	1.983626e-01	-8.151140e-03	-2.113254e-01	4.811669e-03	1.983626e-01	2.400098e-02	-1.794193e-01	5.057679e-03	1.983626e-01	4.767125e-02	-1.559463e-01	5.254933e-03	1.983626e-01	5.955423e-02	-1.442148e-01	5.406452e-03	1.983626e-01	7.980081e-02	-1.239833e-01	5.421497e-03	1.983626e-01
